Player,Team,Bye,POS,Rank,MFL,Fantrax,RTSports,FFC,Sleeper,AVG
Jonathan Taylor,IND,14,RB1,1,1,1,1,1,1,1
Christian McCaffrey,CAR,13,RB2,2,4,4,2,2,3,3
Derrick Henry,TEN,6,RB4,3,2,3,8,3,2,3.6
Cooper Kupp,LAR,7,WR1,4,3,5,5,4,6,4.6
Austin Ekeler,LAC,8,RB3,5,7,2,3,10,4,5.2
Justin Jefferson,MIN,7,WR2,6,5,6,4,6,9,6
Dalvin Cook,MIN,7,RB5,7,9,7,7,5,5,6.6
Najee Harris,PIT,9,RB6,8,8,8,6,11,7,8
Ja'Marr Chase,CIN,10,WR3,9,6,9,9,8,11,8.6
Joe Mixon,CIN,10,RB7,10,10,10,11,20,8,11.8
Davante Adams,LV,6,WR4,11,13,11,15,12,12,12.6
D'Andre Swift,DET,6,RB8,12,20,12,10,9,14,13
Nick Chubb,CLE,9,RB9,13,18,14,19,7,10,13.6
Stefon Diggs,BUF,7,WR5,14,12,17,12,13,16,14
Alvin Kamara,NO,14,RB10,15,14,18,14,15,15,15.2
Travis Kelce,KC,8,TE1,16,21,16,16,17,13,16.6
Javonte Williams,DEN,9,RB12,17,23,13,17,14,22,17.8
Deebo Samuel,SF,9,WR6,18,11,15,18,28,23,19
CeeDee Lamb,DAL,9,WR7,19,16,21,21,19,19,19.2
Saquon Barkley,NYG,9,RB11,20,33,19,13,21,17,20.6
Aaron Jones,GB,14,RB13,21,29,20,23,16,18,21.2
Tyreek Hill,MIA,11,WR8,22,17,22,24,22,21,21.2
Leonard Fournette,TB,11,RB14,23,15,24,20,24,25,21.6
Mark Andrews,BAL,10,TE2,24,19,23,25,27,24,23.6
Josh Allen,BUF,7,QB1,25,43,25,22,18,20,25.6
Mike Evans,TB,11,WR9,26,25,28,28,23,26,26
A.J. Brown,PHI,7,WR10,27,30,26,29,26,29,28
James Conner,ARI,13,RB16,28,28,29,27,34,30,29.6
