Player,Team,Bye,POS,Rank,MFL,Fantrax,RTSports,FFC,Sleeper,AVG
Keenan Allen,LAC,8,WR11,29,27,27,34,30,31,29.8
Ezekiel Elliott,DAL,9,RB15,30,42,30,26,25,27,30
Tee Higgins,CIN,10,WR12,31,24,32,36,31,34,31.4
Kyle Pitts,ATL,14,TE3,32,38,31,31,40,32,34.4
Cam Akers,LAR,7,RB19,33,22,47,35,33,36,34.6
Michael Pittman Jr.,IND,14,WR13,34,32,38,30,37,40,35.4
David Montgomery,CHI,14,RB17,35,41,33,38,29,37,35.6
Patrick Mahomes,KC,8,QB2,36,54,34,33,49,28,39.6
Terry McLaurin,WAS,14,WR15,37,34,45,46,38,41,40.8
Justin Herbert,LAC,8,QB3,38,56,36,37,43,33,41
D.J. Moore,CAR,13,WR14,39,26,44,40,54,43,41.4
Breece Hall,NYJ,10,RB20,40,39,37,45,56,38,43
Diontae Johnson,PIT,9,WR17,41,37,40,50,45,47,43.8
Travis Etienne,JAC,11,RB18,42,59,43,32,47,39,44
Josh Jacobs,LV,6,RB21,43,49,35,51,41,44,44
Mike Williams,LAC,8,WR16,44,31,46,44,55,46,44.4
George Kittle,SF,9,TE4,45,65,42,47,39,35,45.6
D.K. Metcalf,SEA,11,WR19,46,46,41,57,42,48,46.8
Elijah Mitchell,SF,9,RB22,47,58,48,42,36,55,47.8
Jaylen Waddle,MIA,11,WR18,48,45,39,56,51,50,48.2
J.K. Dobbins,BAL,10,RB24,49,40,78,39,35,52,48.8
Lamar Jackson,BAL,10,QB4,50,66,49,49,44,42,50
Courtland Sutton,DEN,9,WR20,51,35,58,41,71,49,50.8
Darren Waller,LV,6,TE5,52,63,50,53,50,45,52.2
Marquise Brown,ARI,13,WR24,53,36,56,67,73,61,58.6
Chris Godwin,TB,11,WR23,54,53,54,66,59,63,59
Brandin Cooks,HOU,6,WR22,55,50,55,58,74,65,60.4
Kyler Murray,ARI,13,QB5,56,68,59,59,67,54,61.4
Jerry Jeudy,DEN,9,WR28,57,47,66,81,61,56,62.2
Gabriel Davis,BUF,7,WR25,58,48,61,54,77,74,62.8
Amon-Ra St. Brown,DET,6,WR21,59,51,51,55,90,68,63
Jalen Hurts,PHI,7,QB7,60,85,70,52,46,64,63.4
Allen Robinson,LAR,7,WR26,61,70,72,60,69,57,65.6
Antonio Gibson,WAS,14,RB26,62,92,85,70,32,51,66
Darnell Mooney,CHI,14,WR27,63,52,57,61,86,75,66.2
A.J. Dillon,GB,14,RB23,64,128,52,43,52,58,66.6
Michael Thomas,NO,14,WR29,65,73,68,71,57,66,67
Clyde Edwards-Helaire,KC,8,RB25,66,62,64,73,87,59,69
Amari Cooper,CLE,9,WR30,67,72,62,85,65,62,69.2
Joe Burrow,CIN,10,QB6,68,109,60,63,64,53,69.8
Adam Thielen,MIN,7,WR31,69,75,76,69,60,70,70
Damien Harris,NE,10,RB27,70,89,53,90,53,69,70.8
Miles Sanders,PHI,7,RB32,71,61,84,80,58,72,71
Dalton Schultz,DAL,9,TE6,72,87,71,64,79,60,72.2
Devin Singletary,BUF,7,RB28,73,60,63,75,80,83,72.2
Rashaad Penny,SEA,11,RB30,74,94,75,65,63,90,77.4
JuJu Smith-Schuster,KC,8,WR32,75,74,80,74,94,71,78.6
Kareem Hunt,CLE,9,RB34,76,93,81,83,62,78,79.4
T.J. Hockenson,DET,6,TE7,77,88,74,78,92,67,79.8
Tony Pollard,DAL,9,RB33,78,97,86,68,70,84,81
Dallas Goedert,PHI,7,TE8,79,98,79,82,72,77,81.6
Chase Edmonds,MIA,11,RB31,80,96,87,62,82,87,82.8
Dak Prescott,DAL,9,QB8,81,100,65,86,83,82,83.2
Russell Wilson,DEN,9,QB9,82,107,77,84,75,73,83.2
Elijah Moore,NYJ,10,WR33,83,78,69,88,89,92,83.2
Rashod Bateman,BAL,10,WR34,84,77,92,77,95,81,84.4
DeVonta Smith,PHI,7,WR36,85,76,83,91,81,91,84.4
Hunter Renfrow,LV,6,WR35,86,79,73,94,85,93,84.8
Tom Brady,TB,11,QB10,87,103,90,76,84,76,85.8
Cordarrelle Patterson,ATL,14,RB29,88,125,67,79,88,80,87.8
Rhamondre Stevenson,NE,10,RB35,89,90,89,72,91,98,88
Aaron Rodgers,GB,14,QB11,90,105,93,97,68,88,90.2
DeAndre Hopkins,ARI,13,WR37,91,122,109,87,48,85,90.2
Brandon Aiyuk,SF,9,WR38,92,84,91,99,99,97,94
Matthew Stafford,LAR,7,QB12,93,111,88,102,76,99,95.2
Dameon Pierce,HOU,6,RB36,94,91,122,48,121,95,95.4
Zach Ertz,ARI,13,TE9,95,99,94,96,102,94,97
Allen Lazard,GB,14,WR40,96,81,112,89,111,96,97.8
Dawson Knox,BUF,7,TE10,97,135,100,105,66,86,98.4
Kenneth Walker III,SEA,11,RB37,98,130,95,101,97,79,100.4
Melvin Gordon,DEN,9,RB38,99,145,96,93,78,100,102.4
Drake London,ATL,14,WR39,100,80,104,100,140,89,102.6
Tyler Lockett,SEA,11,WR41,101,114,82,112,103,106,103.4
Trey Lance,SF,9,QB13,102,123,98,103,93,105,104.4
Christian Kirk,JAC,11,WR42,103,119,103,92,115,107,107.2
Robert Woods,TEN,6,WR43,104,136,99,95,116,108,110.8
James Robinson,JAC,11,RB41,105,129,110,104,98,115,111.2
James Cook,BUF,7,RB40,106,131,126,98,104,102,112.2
Chris Olave,NO,14,WR44,107,121,107,106,128,103,113
Michael Carter,NYJ,10,RB39,108,148,97,111,100,117,114.6
Kadarius Toney,NYG,9,WR47,109,118,113,118,109,122,116
Derek Carr,LV,6,QB14,110,150,108,108,105,112,116.6
Chase Claypool,PIT,9,WR46,111,117,106,120,139,114,119.2
Kirk Cousins,MIN,7,QB15,112,152,102,109,107,131,120.2
Treylon Burks,TEN,6,WR45,113,143,101,121,137,101,120.6
Pat Freiermuth,PIT,9,TE12,114,156,139,113,106,109,124.6
Cole Kmet,CHI,14,TE11,115,154,124,115,132,121,129.2
Mike Gesicki,MIA,11,TE13,116,157,118,149,114,118,131.2
Skyy Moore,KC,8,WR51,117,139,160,124,124,116,132.6
Russell Gage,TB,11,WR52,118,138,125,141,110,153,133.4
Marquez Valdes-Scantling,KC,8,WR53,119,115,151,156,123,124,133.8
Garrett Wilson,NYJ,10,WR48,120,116,117,158,166,113,134
Darrell Henderson,LAR,7,RB43,121,212,115,114,108,123,134.4
Tua Tagovailoa,MIA,11,QB16,122,160,123,129,125,145,136.4
Raheem Mostert,MIA,11,RB52,123,149,150,122,101,167,137.8
Brian Robinson,WAS,14,RB47,124,146,146,123,144,132,138.2
Tyler Boyd,CIN,10,WR49,125,141,116,133,176,139,141
Nyheim Hines,IND,14,RB46,126,210,140,117,119,134,144
Justin Fields,CHI,14,QB17,127,162,119,132,159,159,146.2
Jarvis Landry,NO,14,WR54,128,166,144,138,135,150,146.6
Kenneth Gainwell,PHI,7,RB44,129,218,127,110,133,147,147
Justin Tucker,BAL,10,K1,130,195,131,153,153,104,147.2
Trevor Lawrence,JAC,11,QB18,131,158,137,139,163,164,152.2
Tyler Allgeier,ATL,14,RB50,132,220,161,127,117,146,154.2
Hunter Henry,NE,10,TE17,133,132,252,130,120,138,154.4
George Pickens,PIT,9,WR50,134,226,157,107,154,130,154.8
Jamaal Williams,DET,6,RB51,135,213,142,131,131,165,156.4
DeVante Parker,NE,10,WR60,136,172,147,164,141,161,157
Irv Smith Jr.,MIN,7,TE14,137,175,133,137,169,176,158
D.J. Chark,DET,6,WR55,138,165,130,134,192,175,159.2
J.D. McKissic,WAS,14,RB53,139,216,145,125,138,180,160.8
Isaiah Spiller,LAC,8,RB45,140,275,105,159,143,127,161.8
Jahan Dotson,WAS,14,WR61,141,144,169,144,191,163,162.2
Michael Gallup,DAL,9,WR59,142,232,200,128,113,144,163.4
Daniel Carlson,LV,6,K3,143,200,162,163,172,128,165
Julio Jones,TB,11,WR57,144,234,172,143,147,133,165.8
Kenny Golladay,NYG,9,WR63,145,173,136,180,161,179,165.8
Rachaad White,TB,11,RB48,146,263,141,126,160,142,166.4
David Njoku,CLE,9,TE16,147,174,156,174,182,170,171.2
Rondale Moore,ARI,13,WR56,148,227,120,157,194,169,173.4
Harrison Butker,KC,8,K4,149,198,174,194,180,126,174.4
Tyler Bass,BUF,7,K5,150,204,225,181,167,129,181.2
Jameis Winston,NO,14,QB20,151,250,201,148,146,166,182.2
Jalen Tolbert,DAL,9,WR65,152,225,148,179,171,193,183.2
Marlon Mack,HOU,6,RB55,153,260,211,166,112,172,184.2
Matt Gay,LAR,7,K6,154,197,219,184,185,141,185.2
Albert Okwuegbunam,DEN,9,TE15,155,305,153,178,156,137,185.8
Mecole Hardman,KC,8,WR66,156,228,164,171,181,194,187.6
Romeo Doubs,GB,14,WR62,157,310,149,147,164,181,190.2
Christian Watson,GB,14,WR69,158,238,188,225,158,148,191.4
Alexander Mattison,MIN,7,RB42,159,211,111,119,398,119,191.6
Jameson Williams,DET,6,WR67,160,239,152,222,178,178,193.8
Matt Ryan,IND,14,QB19,161,342,173,146,127,189,195.4
Zamir White,LV,6,RB54,162,279,204,150,168,185,197.2
Darrel Williams,ARI,13,RB58,163,273,190,162,142,224,198.2
Jakobi Meyers,NE,10,WR58,164,137,129,135,398,195,198.8
Matt Prater,ARI,13,K7,165,205,235,217,218,143,203.6
Nico Collins,HOU,6,WR74,166,233,241,169,165,221,205.8
Ryan Tannehill,TEN,6,QB21,167,314,132,167,200,220,206.6
Tyler Higbee,LAR,7,TE23,168,179,281,215,183,177,207
Khalil Herbert,CHI,14,RB49,169,219,134,136,398,149,207.2
Evan McPherson,CIN,10,K2,170,196,176,165,398,111,209.2
Evan Engram,JAC,11,TE20,171,241,165,204,217,225,210.4
Mac Jones,NE,10,QB22,172,344,177,168,174,191,210.8
Brandon McManus,DEN,9,K10,173,202,263,235,201,154,211
Mike Davis,BAL,10,RB61,174,269,226,170,196,208,213.8
Ronald Jones II,KC,8,RB60,175,398,138,288,96,152,214.4
Sony Michel,LAC,8,RB66,176,270,175,243,145,244,215.4
Tyrion Davis-Price,SF,9,RB64,177,299,250,189,151,201,218
Van Jefferson,LAR,7,WR78,178,235,171,272,190,228,219.2
Gus Edwards,BAL,10,RB65,179,332,163,259,122,222,219.6
Joshua Palmer,LAC,8,WR68,180,167,179,160,398,213,223.4
Noah Fant,SEA,11,TE19,181,176,199,154,398,204,226.2
Nick Folk,NE,10,K14,182,203,289,252,213,174,226.2
Isiah Pacheco,KC,8,RB59,183,224,128,,398,156,226.5
Gerald Everett,LAC,8,TE21,184,350,205,202,189,200,229.2
Hayden Hurst,CIN,10,TE26,185,245,288,213,197,203,229.2
Deshaun Watson,CLE,9,QB24,186,381,228,210,134,198,230.2
K.J. Osborn,MIN,7,WR73,187,323,208,200,216,205,230.4
Ryan Succop,TB,11,K8,188,319,195,241,193,209,231.4
Austin Hooper,TEN,6,TE27,189,246,256,237,202,219,232
Buffalo Bills,DST,7,DST1,190,398,121,140,398,110,233.4
Robbie Anderson,CAR,13,WR71,191,168,183,199,398,227,235
Jerick McKinnon,KC,8,RB81,192,221,335,212,179,,236.75
Isaiah McKenzie,BUF,7,WR64,193,284,155,172,398,183,238.4
Zach Wilson,NYJ,10,QB29,194,312,319,145,173,247,239.2
Tampa Bay Buccaneers,DST,11,DST2,195,398,143,142,398,120,240.2
D'Ernest Johnson,CLE,9,RB75,196,301,234,245,186,,241.5
Jared Goff,DET,6,QB27,197,348,248,173,207,243,243.8
Marvin Jones Jr.,JAC,11,WR77,198,169,182,230,398,248,245.4
Dustin Hopkins,LAC,8,K12,199,361,197,240,209,230,247.4
Mark Ingram II,NO,14,RB56,200,280,213,176,398,173,248
D'Onta Foreman,CAR,13,RB57,201,281,180,186,398,199,248.8
Kyle Rudolph,TB,11,TE24,202,416,159,,187,236,249.5
Alec Pierce,IND,14,WR72,203,240,210,195,398,206,249.8
Jamison Crowder,BUF,7,WR85,204,290,220,287,206,256,251.8
Wan'Dale Robinson,NYG,9,WR75,205,237,214,207,398,215,254.2
San Francisco 49ers,DST,9,DST3,206,398,196,155,398,125,254.4
Indianapolis Colts,DST,14,DST4,207,398,167,152,398,157,254.4
Robert Tonyan,GB,14,TE18,208,351,187,151,398,187,254.8
Dallas Cowboys,DST,9,DST5,209,398,114,206,398,160,255.2
New Orleans Saints,DST,14,DST6,210,398,154,192,398,140,256.4
Samaje Perine,CIN,10,RB82,211,335,242,266,184,,256.75
Los Angeles Rams,DST,7,DST7,212,398,191,183,398,136,261.2
Matt Breida,NYG,9,RB80,213,336,259,246,204,,261.25
Damien Williams,ATL,14,RB83,214,334,247,261,212,,263.5
New England Patriots,DST,10,DST8,215,398,135,218,398,171,264
Ameer Abdullah,LV,6,RB67,216,294,170,203,398,,266.25
Dontrell Hilliard,TEN,6,RB63,217,302,178,223,398,234,267
Carson Wentz,WAS,14,QB25,218,307,233,161,398,246,269
Daniel Jones,NYG,9,QB30,219,247,287,185,398,235,270.4
Sammy Watkins,GB,14,WR70,220,370,168,220,398,197,270.6
Corey Davis,NYJ,10,WR76,221,327,166,219,398,252,272.4
Rodrigo Blankenship,IND,14,K9,222,497,218,265,215,168,272.6
Cameron Brate,TB,11,TE28,223,442,236,248,198,239,272.6
Los Angeles Chargers,DST,8,DST9,224,398,186,226,398,158,273.2
Curtis Samuel,WAS,14,WR83,225,236,192,290,398,257,274.6
Chuba Hubbard,CAR,13,RB68,226,293,280,216,398,190,275.4
Denver Broncos,DST,9,DST10,227,398,202,197,398,186,276.2
Baker Mayfield,CAR,13,QB23,228,378,209,190,398,207,276.4
Hassan Haskins,TEN,6,RB69,229,304,189,276,398,223,278
Miami Dolphins,DST,11,DST11,230,398,158,227,398,214,279
Isaiah Likely,BAL,10,TE22,231,366,198,208,398,229,279.8
KJ Hamler,DEN,9,WR79,232,311,238,244,398,217,281.6
Pittsburgh Steelers,DST,9,DST12,233,398,232,231,398,151,282
Jeff Wilson Jr.,SF,9,RB62,234,397,185,201,398,232,282.6
Davis Mills,HOU,6,QB26,235,384,184,175,398,,285.25
Odell Beckham Jr.,,,WR80,236,324,298,211,398,202,286.6
Tennessee Titans,DST,6,DST13,237,398,237,267,398,135,287
Kansas City Chiefs,DST,8,DST14,238,398,217,209,398,218,288
Joshua Kelley,LAC,8,RB70,239,341,181,233,398,,288.25
Baltimore Ravens,DST,10,DST15,240,398,212,258,398,182,289.6
Greg Joseph,MIN,7,K17,241,256,277,234,398,,291.25
Green Bay Packers,DST,14,DST16,242,398,253,224,398,184,291.4
Kenny Pickett,PIT,9,QB28,243,389,273,187,398,211,291.6
Chris Boswell,PIT,9,K19,244,411,294,250,219,,293.5
Parris Campbell,IND,14,WR82,245,330,314,191,398,238,294.2
Donovan Peoples-Jones,CLE,9,WR81,246,368,215,271,398,226,295.6
Logan Thomas,WAS,14,TE29,247,352,276,198,398,255,295.8
Boston Scott,PHI,7,RB74,248,337,223,242,398,,300
Eno Benjamin,ARI,13,RB71,249,372,286,214,398,231,300.2
Minnesota Vikings,DST,7,DST17,250,398,229,269,398,212,301.2
A.J. Green,ARI,13,WR88,251,328,283,253,398,250,302.4
Graham Gano,NYG,9,K25,252,209,303,,398,,303.3333333
Cleveland Browns,DST,9,DST18,253,398,272,239,398,216,304.6
Mason Crosby,GB,14,K28,254,363,334,,220,,305.6666667
Ke'Shawn Vaughn,TB,11,RB77,255,340,258,232,398,,307
Philadelphia Eagles,DST,7,DST19,256,398,300,249,398,192,307.4
Robbie Gould,SF,9,K16,257,318,320,,398,196,308
Wil Lutz,NO,14,K11,258,492,230,238,398,188,309.2
Kendrick Bourne,NE,10,WR91,259,309,274,257,398,,309.5
Younghoe Koo,ATL,14,K13,260,412,336,256,398,155,311.4
Brevin Jordan,HOU,6,TE31,261,364,269,275,398,254,312
Jake Elliott,PHI,7,K20,262,259,342,251,398,,312.5
Seattle Seahawks,DST,11,DST21,263,398,245,,398,210,312.75
Las Vegas Raiders,DST,6,DST22,264,398,222,,398,233,312.75
Washington Commanders,DST,14,DST20,265,398,326,280,398,162,312.8
Cedrick Wilson Jr.,MIA,11,WR98,266,286,255,,398,,313
Taysom Hill,NO,14,TE25,267,471,203,254,398,242,313.6
Marcus Mariota,ATL,14,QB32,268,386,285,188,398,,314.25
Devin Duvernay,BAL,10,WR87,269,357,194,,398,,316.3333333
Giovani Bernard,TB,11,RB104,270,398,340,,214,,317.3333333
Sterling Shepard,NYG,9,WR97,271,325,266,281,398,,317.5
Jason Sanders,MIA,11,K22,272,505,282,274,211,,318
Randall Cobb,GB,14,WR94,273,326,310,,398,240,318.5
Rex Burkhead,HOU,6,RB96,274,266,333,286,398,,320.75
Geno Smith,SEA,11,QB33,275,441,304,196,398,278,323.4
Mitch Trubisky,PIT,9,QB34,276,430,293,182,398,,325.75
New York Giants,DST,9,DST24,277,398,279,,398,237,328
Cincinnati Bengals,DST,10,DST25,278,398,239,278,398,,328.25
Jacoby Brissett,CLE,9,QB35,279,431,295,193,398,,329.25
Carolina Panthers,DST,13,DST26,280,398,267,255,398,,329.5
Terrace Marshall Jr.,CAR,13,WR93,281,391,249,284,398,,330.5
Drew Lock,SEA,11,QB31,282,423,329,177,398,,331.75
Chris Evans,CIN,10,RB85,283,339,328,262,398,,331.75
Velus Jones Jr.,CHI,14,WR107,284,321,,283,398,,334
Laviska Shenault Jr.,CAR,13,WR96,285,398,278,264,398,,334.5
Mo Alie-Cox,IND,14,TE36,286,353,264,,398,,338.3333333
Cade York,CLE,9,K15,287,495,227,236,398,,339
Atlanta Falcons,DST,14,DST23,288,398,221,,398,,339
Jonnu Smith,NE,10,TE30,289,417,207,,398,,340.6666667
Braxton Berrios,NYJ,10,WR99,290,371,351,260,398,,345
Trey McBride,ARI,13,TE32,291,467,271,,398,253,347.25
Josh Love,,,QB38,292,398,,,398,259,351.6666667
Detroit Lions,DST,6,DST27,293,398,260,,398,,352
Paxton Lynch,,,QB40,294,398,,,398,261,352.3333333
Jimmy Garoppolo,SF,9,QB36,295,452,355,205,398,,352.5
Temuchin Hodges,,,TE35,296,398,,,398,263,353
Jake Burt,,,TE37,297,398,,,398,265,353.6666667
Stephen Carr,,,RB87,298,398,,,398,266,354
Chicago Bears,DST,14,DST29,299,398,348,273,398,,354.25
Zay Jones,JAC,11,WR109,300,392,337,291,398,,354.5
Quinn Nordin,,,K23,301,398,,,398,268,354.6666667
Sewo Olonilua,,,RB88,302,398,,,398,269,355
New York Jets,DST,10,DST28,303,398,270,,398,,355.3333333
Benny Snell Jr.,PIT,9,RB86,304,403,359,263,398,,355.75
Jehu Chesson,,,WR105,305,398,,,398,277,357.6666667
Maurice Ffrench,,,WR106,306,398,,,398,279,358.3333333
Brian Johnson,,,K24,307,398,,,398,280,358.6666667
Nick Westbrook-Ikhine,TEN,6,WR128,308,322,356,,398,,358.6666667
Desmond Ridder,ATL,14,QB37,309,450,,229,398,,359
Arizona Cardinals,DST,13,DST30,310,398,284,,398,,360
Tyler Conklin,NYJ,10,TE42,311,365,318,,398,,360.3333333
Duke Johnson Jr.,,,RB97,312,398,290,,398,,362
C.J. Uzomah,NYJ,10,TE33,313,446,246,,398,,363.3333333
Adam Trautman,NO,14,TE38,314,418,275,,398,,363.6666667
Jaylen Warren,PIT,9,RB95,315,436,350,282,398,,366.5
Byron Pringle,CHI,14,WR116,316,394,308,,398,,366.6666667
Sam Darnold,CAR,13,QB39,317,454,358,,398,260,367.5
Bryan Edwards,ATL,14,WR126,318,369,349,,398,,372
Dee Eskridge,SEA,11,WR131,319,356,373,,398,,375.6666667
Joey Slye,WAS,14,K18,320,490,243,,398,,377
Daniel Bellinger,NYG,9,TE39,321,460,,277,398,,378.3333333
Wayne Gallman Jr.,,,RB105,322,398,344,,398,,380
Nelson Agholor,NE,10,WR121,323,422,322,,398,,380.6666667
Roberto Aguayo,,,K31,324,398,361,,398,,385.6666667
Dan Arnold,JAC,11,TE43,325,419,341,,398,,386
Lirim Hajrullahu,,,K32,326,398,362,,398,,386
Cairo Santos,CHI,14,K21,327,502,261,,398,,387
Ramiz Ahmed,,,K34,328,398,366,,398,,387.3333333
Houston Texans,DST,6,DST31,329,398,369,,398,,388.3333333
Kene Nwangwu,MIN,7,RB109,330,405,364,,398,,389
Malik Willis,TEN,6,QB42,331,479,297,,398,,391.3333333
Greg Dulcich,DEN,9,TE41,332,468,316,,398,,394
Brandon Bolden,LV,6,RB106,333,457,345,,398,,400
Travis Homer,SEA,11,RB111,334,438,368,,398,,401.3333333
Greg Zuerlein,NYJ,10,K26,335,498,327,,398,,407.6666667
Michael Badgley,,,K27,336,496,332,,398,,408.6666667
Randy Bullock,TEN,6,K29,337,493,347,,398,,412.6666667
Tyrod Taylor,NYG,9,QB43,338,478,370,,398,,415.3333333
Brett Maher,,,K33,339,489,365,,398,,417.3333333
Jordan Love,GB,14,QB45,340,480,375,,398,,417.6666667
Jason Myers,SEA,11,K35,341,503,372,,398,,424.3333333
David Bell,CLE,9,WR84,342,995,244,270,398,245,430.4
Trey Sermon,SF,9,RB78,343,1123,254,247,130,,438.5
Keaontay Ingram,ARI,13,RB76,344,1133,262,268,398,251,462.4
Marquez Callaway,NO,14,WR95,345,1024,251,285,398,,489.5
Quez Watkins,PHI,7,WR89,346,1010,339,228,398,,493.75
Myles Gaskin,MIA,11,RB72,347,1138,224,221,398,,495.25
Kyren Williams,LAR,7,RB79,348,1110,216,289,398,,503.25
Zack Moss,BUF,7,RB93,349,1074,296,279,398,,511.75
Tyquan Thornton,NE,10,WR90,350,1021,231,,398,,550
Olamide Zaccheaus,ATL,14,WR101,351,996,265,,398,,553
Kyle Philips,TEN,6,WR110,352,997,,293,398,,562.6666667
Damiere Byrd,ATL,14,WR102,353,1042,,,398,267,569
Amari Rodgers,GB,14,WR108,354,1025,291,,398,,571.3333333
Zach Pascal,PHI,7,WR123,355,1019,325,,398,,580.6666667
C.J. Ham,MIN,7,RB94,356,1064,,,398,281,581
Kalif Raymond,DET,6,WR125,357,1026,343,,398,,589
KaVontae Turpin,DAL,9,WR86,358,1179,193,,398,,590
Jody Fortson,KC,8,TE40,359,1076,306,,398,,593.3333333
Tre'Quan Smith,NO,14,WR124,360,1046,338,,398,,594
Jake Funk,LAR,7,RB99,361,1075,312,,398,,595
Breshad Perriman,TB,11,WR127,362,1041,354,,398,,597.6666667
Dyami Brown,WAS,14,WR130,363,1032,363,,398,,597.6666667
Cam Sims,WAS,14,WR112,364,1116,301,,398,,605
Deonte Harty,NO,14,WR129,365,1059,360,,398,,605.6666667
Khalil Shakir,BUF,7,WR115,366,1125,307,,398,,610
Derek Watt,PIT,9,RB90,367,1163,,,398,272,611
Jaret Patterson,,,RB100,368,1118,321,,398,,612.3333333
Blaine Gabbert,TB,11,QB44,369,1066,374,,398,,612.6666667
Marquise Goodwin,SEA,11,WR119,370,1129,313,,398,,613.3333333
Jason Moore Jr.,,,WR100,371,1186,,,398,264,616
Greg Ward,PHI,7,WR103,372,1201,,,398,271,623.3333333
Godwin Igwebuike,,,RB89,373,1211,,,398,270,626.3333333
Ty Johnson,NYJ,10,RB108,374,1126,357,,398,,627
Tevin Coleman,,,RB107,375,1139,353,,398,,630
Jaelon Darden,TB,11,WR113,376,1206,302,,398,,635.3333333
Ty Chandler,MIN,7,RB110,377,1205,367,,398,,656.6666667
Jake Kumerow,BUF,7,WR117,378,1377,309,,398,,694.6666667
N'Keal Harry,CHI,14,WR114,379,1517,305,,398,,740
Kenyan Drake,BAL,10,RB73,380,2363,206,,175,249,748.25
Jonathan Ward,,,RB91,381,1673,,,398,274,781.6666667
Sam Ehlinger,IND,14,QB41,382,1778,,,398,276,817.3333333
William Fuller V,,,WR92,383,2346,240,292,398,,819
Devontae Booker,,,RB84,384,2352,317,,398,258,831.25
Chad Hansen,,,WR104,385,2183,,,398,273,951.3333333
Trey Burton,,,TE34,386,2382,,,398,262,1014
David Johnson,,,RB98,387,2379,292,,398,,1023
Jordan Howard,,,RB102,388,2351,330,,398,,1026.333333
Alfred Morris,,,RB92,389,2424,,,398,275,1032.333333
Devonta Freeman,,,RB101,390,2381,323,,398,,1034
Antonio Brown,,,WR111,391,2412,299,,398,,1036.333333
Cole Beasley,,,WR120,392,2396,315,,398,,1036.333333
Emmanuel Sanders,,,WR118,393,2408,311,,398,,1039
Latavius Murray,,,RB103,394,2397,331,,398,,1042
T.Y. Hilton,,,WR122,395,2422,324,,398,,1048
Kai Forbath,LAR,7,K30,396,2417,352,,398,,1055.666667
Jared Cook,,,TE44,397,2443,346,,398,,1062.333333
Pharaoh Brown,HOU,6,TE45,,,377,,,,
John Metchie III,HOU,6,WR132,,,380,,,,
Jonathan Garibay,,,K36,,,382,,,,
